SHORT_STATE_NAME,FULL_STATE_NAME,CAPITAL
UP,UTTAR PRADESH,LUCKNOW
MP,Madhya Pradesh,Bhopal
AP,Arunachal Pradesh,Itanagar
HP,Himachal Pradesh,Shimla
DL,DELHI,Delhi
JK,Jammu Kashmir,Sri Nagar
